file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
/kaggle/input/interspeech-2025/train/train_lakshmipur_0004.wav,0 days,0 days 00:00:18.528000,38.758545,0.11690196,35.393665,38.935364,42.384,6.9903336,154.92302,179.17958,66.31659,74.830635,0.46416518,0.91619456,0.09642029,0.33144274,0.76133704,0.66491675,6.8212633,4.3584504,5.69587,3.5173814,0.19524118,1.2811179,21.513689,0.46420643,0.728382,20.116163,2.776413,5.8660197,-5.0440197,-3.1426933,0.02476128,2.8590584,1.0354301,0.76105905,9.759036,0.3582165,7.5837455,1.4462047,24.022476,0.38722146,780.1013,0.24132122,1350.5853,0.19936141,-103.61822,-0.88693124,1798.6167,0.10707538,1019.0949,0.38088897,-102.36631,-0.8493021,2868.65,0.07773423,895.4429,0.35101447,-106.863266,-0.77312815,-14.383486,-0.5297324,25.497892,0.32330912,0.05464881,0.41861475,-0.015807617,-0.96696186,0.31182876,0.8434645,26.7048,0.31806013,-2.9475846,-5.94793,0.10676527,186.60486,-11.906838,-1.3355013,-8.282633,17.376587,0.017734159,0.004650889,0.056832433,2.5931928,2.2210186,0.23585364,0.25006312,0.21944444,0.36620378,-24.188728
/kaggle/input/interspeech-2025/train/train_lakshmipur_0008.wav,0 days,0 days 00:00:16.960000,38.48989,0.08131855,35.930237,38.618584,40.840744,4.910507,109.361404,179.96823,29.280626,25.42547,0.56171405,0.6423287,0.23695731,0.50828964,0.8144976,0.5775403,7.7353387,5.084012,5.1021166,3.2083752,0.24222986,0.9034875,26.789284,0.3596038,4.464358,3.2793794,0.9952886,14.024611,-11.42422,-1.2042379,0.01711603,1.3992518,1.0124122,0.72806543,9.990023,0.33632892,8.6804905,1.2128264,28.828558,0.34230188,724.5601,0.23646916,1360.2738,0.15542115,-65.62884,-1.2598841,1782.9595,0.109495305,1011.8647,0.3383531,-70.143425,-1.0575278,2881.433,0.06979781,873.9391,0.33779535,-76.61404,-0.91639394,-17.890085,-0.4130699,28.190231,0.32241347,0.051198807,0.4247783,-0.025050065,-0.5555247,0.29332998,0.7438761,30.063038,0.25354517,4.30716,3.4815328,-0.13884366,-106.13247,-15.074419,-0.8343577,-9.263677,17.664402,0.027123401,-0.0049521457,0.09883412,3.1858408,2.0118344,0.35911766,0.37355497,0.1240625,0.15614215,-23.672607
/kaggle/input/interspeech-2025/train/train_lakshmipur_0026.wav,0 days,0 days 00:00:15.616000,38.955963,0.063781686,37.092613,39.21504,41.11931,4.0266953,104.67853,341.71893,24.618093,15.017871,0.48379195,0.788462,0.10678104,0.41043228,0.78313255,0.6763515,8.032385,4.678897,5.587135,3.1355357,0.20378624,1.0396698,21.18033,0.57559806,0.7648081,18.29271,0.36189443,41.26573,-10.68865,-1.247381,0.021801252,1.1907806,1.0694615,0.71257436,9.412717,0.39959478,8.653113,1.1677034,25.726448,0.32331565,745.6103,0.22789633,1367.9081,0.14620672,-77.5455,-1.1296419,1790.2335,0.104047105,994.07776,0.3312341,-79.287575,-1.0109851,2858.032,0.070445605,882.83936,0.35710746,-84.426155,-0.90724486,-16.400312,-0.41737702,26.73405,0.3265637,0.07368445,0.26824784,-0.022750774,-0.62694496,0.28181964,0.74962634,26.45431,0.36909384,0.32924244,48.579136,-1.1696452,-14.16533,-15.440422,-0.8334806,-4.5136213,12.229609,0.048337325,0.007772673,0.03614826,3.0769231,1.6097876,0.4164,0.26799822,0.21809524,0.5274793,-24.846561
/kaggle/input/interspeech-2025/train/train_lakshmipur_0012.wav,0 days,0 days 00:00:16.800000,36.762608,0.06549403,34.770264,36.65786,38.75335,3.9830856,66.638824,128.19072,26.37634,23.46544,0.49845472,0.6064008,0.21164691,0.47649086,0.7155534,0.5039065,5.8314424,3.363799,3.9126806,2.1990159,0.20713337,0.9368144,28.492817,0.36143202,6.9956408,1.9428288,1.9537722,7.4510016,-9.924168,-1.2410455,0.019541252,2.2480416,0.93174005,0.7044814,9.664006,0.33432478,6.38225,1.763675,30.103245,0.2878591,701.854,0.19822916,1338.4875,0.14533383,-55.063694,-1.4348606,1793.5597,0.10408674,942.26385,0.33727524,-64.31777,-1.1038481,2901.7014,0.066472225,853.6265,0.32369804,-71.39826,-0.9378011,-18.729927,-0.35851443,27.75456,0.3047338,0.062308114,0.33668682,-0.029145366,-0.46650004,0.24951847,0.77485734,32.062748,0.22371635,5.9163175,2.415969,0.33358344,46.287235,-12.819177,-0.92434186,-11.29432,18.399866,0.030495223,-0.006013007,0.06569791,3.573556,1.911589,0.39499998,0.46396387,0.12555555,0.15986878,-25.113209
/kaggle/input/interspeech-2025/train/train_lakshmipur_0007.wav,0 days,0 days 00:00:15.424000,37.363964,0.074724585,34.873947,37.2499,39.593075,4.7191277,126.71096,213.76675,21.47769,11.330138,0.61353093,0.6099594,0.2770715,0.5549834,0.88370657,0.6066351,7.1580653,3.832292,4.975156,3.0344362,0.2828481,0.8172101,28.233112,0.3376407,3.0787487,4.730905,-2.0495753,-6.9797215,-10.420123,-1.0546345,0.02148097,1.0308335,1.1653653,0.6561752,8.507472,0.41520208,7.71902,1.6843058,28.97603,0.38837147,690.6543,0.24582861,1377.3633,0.15269469,-56.517437,-1.3900807,1750.3777,0.117304884,1020.70483,0.2823492,-61.612904,-1.1469177,2853.1804,0.07963864,918.111,0.36977586,-69.388,-0.9578129,-17.022135,-0.4460486,28.22953,0.29285976,0.06377304,0.34543556,-0.023586042,-0.57908994,0.3363553,0.67564136,30.951788,0.24242944,2.2448742,6.7878737,-2.3825336,-6.3673644,-12.324173,-0.8708093,-10.547794,19.522451,0.036649108,-0.0074471366,0.09826479,3.3095393,2.2164278,0.34176472,0.28515702,0.11,0.15592021,-23.25331
/kaggle/input/interspeech-2025/train/train_lakshmipur_0009.wav,0 days,0 days 00:00:17.664000,38.35211,0.09619843,35.49853,38.32397,41.054962,5.556431,67.1105,64.02641,52.548016,83.50773,0.69818705,0.60825366,0.34786835,0.6025844,1.0243552,0.67648685,8.480141,5.142014,6.0836,3.3978517,0.36726764,0.8405441,26.233494,0.41908073,-0.99103606,-16.992964,2.377003,5.581932,-9.694392,-1.4152776,0.030270033,2.1910858,1.138366,0.5946552,8.1758585,0.40503064,7.092709,1.6908069,24.385706,0.42648846,693.84546,0.25212145,1356.8551,0.14082755,-51.889072,-1.4387165,1768.5771,0.10196687,938.52325,0.31378117,-55.995747,-1.2002469,2831.954,0.083420575,921.9327,0.41152817,-62.371502,-1.0261291,-15.466992,-0.4392242,24.662607,0.32961705,0.061901968,0.37077525,-0.025641546,-0.5431951,0.40766498,0.73619074,29.188114,0.27415842,-2.5933375,-6.490255,1.3260165,10.367897,-11.554779,-1.141293,-9.95915,17.580683,0.038333006,-0.010941895,0.20610256,3.6827197,2.3295455,0.33634147,0.27177605,0.083142854,0.09721173,-22.216335
/kaggle/input/interspeech-2025/train/train_lakshmipur_0018.wav,0 days,0 days 00:00:15.232000,44.75625,0.08169942,41.706383,44.53369,47.119247,5.4128647,160.26462,251.6264,46.66597,30.403715,0.60204726,0.87024176,0.12053856,0.45296723,1.0038469,0.8833083,9.253457,5.606535,7.1061697,4.0446925,0.29176217,1.112915,14.594941,0.6959548,-9.060645,-1.6494124,0.0691966,205.45143,-13.458186,-1.2951547,0.02274575,1.508354,1.1276929,0.668919,10.377861,0.38491294,12.472931,0.6548465,16.385185,0.7297072,859.1748,0.25843742,1341.781,0.24235103,-106.5997,-0.8478015,1831.6692,0.11689218,1028.4221,0.3132669,-97.74564,-0.8830796,2870.8176,0.08809604,917.0819,0.30740917,-101.014595,-0.82521874,-12.608515,-0.5652556,22.088867,0.37840626,0.09043396,0.26853055,-0.011028567,-1.4115521,0.44653445,0.73577076,19.511946,0.4364291,-13.350451,-1.2515731,-1.0540849,-15.903357,-22.198809,-0.7527425,-2.3035302,10.757798,0.060569607,0.0051633385,0.08573153,2.562418,1.6479894,0.338,0.3571442,0.25708333,0.32404318,-21.886335
/kaggle/input/interspeech-2025/train/train_lakshmipur_0025.wav,0 days,0 days 00:00:15.328000,39.861687,0.120873556,35.304962,39.490337,43.314056,8.009094,134.56139,257.5958,48.258915,74.170746,0.68318594,0.8448943,0.20469786,0.4598216,1.1451415,0.94044363,11.075662,7.1909113,8.119384,6.4551563,0.31065303,1.1590291,13.180575,0.9069975,-4.5860085,-2.9897454,-3.4510152,-4.137246,-9.602906,-1.7777375,0.021564685,1.1987146,1.1020699,0.55029273,7.722611,0.45170286,7.9858375,1.4148457,20.78941,0.45091912,706.97095,0.31736705,1363.9347,0.15503183,-106.1847,-0.8789927,1724.6482,0.1304505,1070.5039,0.23471496,-92.97706,-0.9523234,2766.2725,0.09489745,1021.45374,0.4058949,-97.242966,-0.87085646,-9.995243,-0.80035514,22.061907,0.38980132,0.0713657,0.29003367,-0.012866753,-1.326061,0.4763712,0.78432304,19.82451,0.45983583,-6.151588,-2.6844091,-4.433708,-3.8649654,-16.638878,-1.0292665,1.0763052,8.033248,0.06206095,0.009880373,0.08165133,2.416721,2.0983605,0.2678125,0.22702882,0.19451612,0.25044268,-22.490246
/kaggle/input/interspeech-2025/train/train_lakshmipur_0022.wav,0 days,0 days 00:00:17.280000,39.950092,0.11151594,37.2287,39.35739,42.800484,5.571785,98.534935,122.87608,45.174862,45.63711,0.62231505,0.72364783,0.21337011,0.5404577,0.97674745,0.7633773,9.038026,5.1787105,6.071369,3.7777755,0.2916073,1.0559506,22.280378,0.4504313,-4.7732763,-3.0643215,-1.8629305,-7.9757185,-16.467081,-0.910015,0.025614664,1.5897876,1.1199503,0.62642986,8.827366,0.38348332,7.689834,1.3639333,22.314857,0.40243873,764.92017,0.27564225,1382.6368,0.19257401,-67.54197,-1.2218109,1748.1246,0.12235187,1072.4235,0.3402134,-65.39454,-1.1332475,2843.3828,0.08008681,895.49774,0.39236698,-71.64158,-0.9811137,-12.823723,-0.56919336,25.34026,0.2981382,0.07905286,0.27414137,-0.015086884,-0.94351965,0.35373786,0.89733565,24.924765,0.35127497,-6.388951,-2.4071777,-2.5852532,-6.332592,-19.824509,-0.7385639,-7.674688,16.590868,0.06547944,-0.0014851365,0.107573554,3.2426171,2.2661245,0.32179484,0.35389316,0.11454545,0.1684347,-23.478647
/kaggle/input/interspeech-2025/train/train_lakshmipur_0002.wav,0 days,0 days 00:00:15.520000,37.729404,0.074401215,35.741875,37.511116,39.431107,3.6892319,94.60403,132.44891,29.17512,36.398937,0.512337,0.80329627,0.14676546,0.3936629,0.79054385,0.6437784,8.621677,5.4473276,6.276456,4.116552,0.20737833,1.1207688,21.80593,0.5432627,1.9000182,6.232631,2.8522327,4.6371307,-2.6976156,-5.112576,0.019731391,1.4160663,0.9991141,0.6665288,9.435461,0.37268433,7.4010983,1.3675678,24.712801,0.34291902,737.49176,0.30749455,1393.1548,0.16469494,-89.581215,-0.9979577,1750.5916,0.12947327,1083.5193,0.25234023,-85.67353,-0.9686875,2856.1453,0.083518244,989.49646,0.37710014,-91.66914,-0.8554119,-15.50913,-0.50683886,28.275972,0.3205285,0.05362603,0.45065728,-0.011011178,-1.2149554,0.29436308,0.82846147,28.034496,0.3048608,1.5515478,8.681157,1.3104254,11.728518,-8.084306,-1.687308,-4.8985105,14.080474,0.02009974,0.0092487885,0.05032254,2.7079306,1.6170763,0.3904,0.4127031,0.21541665,0.1690902,-24.60341
/kaggle/input/interspeech-2025/train/train_lakshmipur_0021.wav,0 days,0 days 00:00:18.684000,40.77954,0.091307,37.92421,40.65857,43.223503,5.2992935,69.22387,82.85798,41.045097,46.003143,0.5944307,0.78740484,0.13420919,0.48662362,1.0284396,0.8942305,10.692135,5.2838936,6.5730076,3.396497,0.28252664,1.0151938,17.237005,0.68929195,-3.113069,-4.0557704,2.1301696,6.4782343,-11.847185,-1.2822862,0.02256666,1.1243476,1.156492,0.6273299,9.480405,0.4075566,11.165964,0.856061,20.015217,0.44437444,756.8513,0.2845065,1362.3291,0.17937249,-88.59394,-0.9954608,1790.2773,0.11025776,940.09076,0.33980128,-81.06398,-1.005717,2845.7522,0.081387095,894.36926,0.3479159,-85.170265,-0.9222991,-14.258117,-0.5093773,23.14919,0.34332338,0.08098956,0.2680921,-0.018314673,-0.85471725,0.39622897,0.7049805,22.96009,0.40184963,-5.510399,-2.5172088,3.624064,4.365867,-16.703884,-0.9196535,-3.7445462,11.0146475,0.06782512,0.0053903987,0.05551636,3.1065881,1.8796993,0.3462857,0.3556972,0.20464285,0.38391295,-22.282896
/kaggle/input/interspeech-2025/train/train_lakshmipur_0024.wav,0 days,0 days 00:00:16.220000,37.74602,0.08727936,34.961388,37.327824,40.784435,5.8230476,73.1805,95.76718,32.70216,32.285297,0.6215902,0.6447963,0.2581076,0.57345563,0.913305,0.6551974,9.36683,5.7193065,6.6503444,3.7026849,0.29210052,0.8304352,23.754267,0.47634095,0.536657,26.143997,5.3828487,2.8872626,-11.702414,-1.1349001,0.026032845,1.6572615,1.0628027,0.630943,9.016109,0.3670377,8.949515,1.2734421,23.630636,0.41406778,690.33453,0.28675532,1403.1501,0.1613928,-54.04042,-1.4073989,1754.7769,0.114374734,1012.8302,0.33774135,-57.169426,-1.1728817,2798.4373,0.0898407,957.3259,0.3798825,-61.892372,-1.0456289,-15.626149,-0.432627,25.079165,0.35481492,0.0792824,0.24665019,-0.021182185,-0.7106048,0.34287196,0.6797015,26.77504,0.34702253,-0.7558716,-19.473118,4.588701,3.5170133,-13.869582,-0.9318555,-7.99407,15.583749,0.06102347,0.0019509554,0.08608427,4.071561,2.1039605,0.37294117,0.3098342,0.09714285,0.12817,-22.920424
/kaggle/input/interspeech-2025/train/train_lakshmipur_0032.wav,0 days,0 days 00:00:16.480000,38.63591,0.0777083,36.385384,38.54904,40.31465,3.929268,48.647102,48.477356,24.306864,17.590546,0.5082788,0.73620266,0.1456782,0.46643066,0.7645811,0.61890286,6.655814,4.004058,4.9791393,3.774884,0.20516066,0.9510573,24.172037,0.4917403,1.2882339,11.474971,1.7677963,9.109926,-10.835554,-1.3909432,0.021351704,1.9219358,0.954153,0.7466219,10.2733345,0.32313025,6.35246,1.8127353,25.24995,0.3635449,742.5882,0.22101024,1337.0071,0.15467186,-75.674995,-1.144855,1803.297,0.11142043,946.327,0.31482664,-78.32914,-1.0133458,2883.794,0.07041989,858.4998,0.31757846,-83.82512,-0.90076244,-16.95762,-0.4214571,27.594398,0.31598765,0.068287626,0.34621605,-0.023853872,-0.57628477,0.26375216,0.71729,28.920897,0.30309063,0.46062025,34.738842,0.06123737,291.5478,-14.875782,-1.0197567,-7.247705,14.959381,0.039086252,-0.00012076283,0.074877895,2.792957,1.7052375,0.39642856,0.36278895,0.19583334,0.20932263,-24.754494
/kaggle/input/interspeech-2025/train/train_lakshmipur_0027.wav,0 days,0 days 00:00:17.664000,37.49122,0.06342522,35.36993,37.79233,39.65641,4.28648,65.742424,96.53824,24.448122,14.837506,0.48221862,0.72082883,0.15450685,0.41054967,0.74564517,0.5911383,7.2671404,4.167262,5.7222085,3.7171164,0.20799252,0.90534985,24.817987,0.46295527,3.242671,4.345631,2.651686,5.2106633,-10.25703,-1.3513637,0.018061746,1.0577325,1.0257828,0.6889697,9.211165,0.37667784,7.4724483,1.4614396,27.24068,0.36875936,699.8434,0.2579436,1370.8575,0.1334648,-66.62543,-1.2557583,1772.1777,0.11369509,1022.0694,0.3700678,-71.36846,-1.0586782,2843.9316,0.077664904,917.4839,0.3806403,-77.06519,-0.9322912,-17.261211,-0.41490963,27.535542,0.32034072,0.07894854,0.25183073,-0.024457164,-0.64573413,0.2644559,0.6993663,29.126991,0.31606337,2.5623534,5.930489,1.4319861,10.238693,-13.613151,-1.0252918,-8.306063,16.123348,0.0585423,0.0020028716,0.057892676,3.6827197,1.9897668,0.3582857,0.35990858,0.15814814,0.26259443,-25.246828
/kaggle/input/interspeech-2025/train/train_lakshmipur_0017.wav,0 days,0 days 00:00:15.712000,40.642876,0.11121914,37.748444,40.35951,43.753548,6.005104,168.07927,201.24948,23.900372,25.816145,0.5467459,0.9258228,0.07902785,0.43705562,0.9357747,0.85674685,9.912444,7.174546,7.4038424,4.033474,0.2805823,1.1845261,17.242443,0.6533971,-4.5595374,-3.6919615,1.9056953,7.604989,-9.352852,-1.503089,0.025809241,1.355831,1.1423541,0.6252091,8.597734,0.4573002,10.2143955,1.6136054,19.810259,0.7832074,737.6213,0.28269264,1388.049,0.17287138,-98.31313,-0.9278483,1788.5219,0.112845376,947.91034,0.28962874,-91.23173,-0.9347109,2809.8535,0.08059876,976.22034,0.39038053,-94.67821,-0.8693209,-12.983631,-0.6174818,21.89771,0.37823528,0.08245811,0.2595079,-0.017768374,-0.9632458,0.40444922,0.78407943,22.287376,0.44129446,-7.0357523,-2.6730568,2.8194916,6.0926685,-15.148094,-0.88618314,-3.6717842,12.759153,0.058324374,0.009184162,0.09117084,3.1210191,2.1086264,0.27818182,0.2838315,0.20571429,0.38856357,-23.257122
